feedback,latent_agent,subject,latent_prob,mine_prob_win_left,mine_prob_win_right,latent_guess,block_num,trial_num,condition,subj_choice
1,0,1306,0.3,0.3,0.7,0,1,29,3,2
1,1,1306,0.3,0.3,0.7,0,1,30,3,2
1,0,1306,0.3,0.3,0.7,0,1,31,3,2
0,0,1306,0.3,0.3,0.7,1,1,32,3,2
0,1,1306,0.3,0.3,0.7,1,1,33,3,2
1,0,1306,0.3,0.3,0.7,0,1,34,3,2
0,1,1306,0.3,0.3,0.7,1,1,35,3,2
0,0,1306,0.3,0.3,0.7,0,1,36,3,1
1,0,1306,0.3,0.3,0.7,0,1,37,3,2
1,0,1306,0.3,0.3,0.7,0,1,38,3,2
1,1,1306,0.3,0.3,0.7,0,1,39,3,2
0,0,1306,0.3,0.3,0.7,1,1,40,3,2
1,0,1306,0.3,0.3,0.7,0,1,41,3,2
1,0,1306,0.3,0.3,0.7,0,1,42,3,2
0,1,1306,0.3,0.3,0.7,1,1,43,3,2
0,1,1306,0.3,0.3,0.7,1,1,44,3,2
0,1,1306,0.3,0.3,0.7,1,1,45,3,2
0,1,1306,0.3,0.3,0.7,0,1,46,3,2
0,1,1306,0.3,0.3,0.7,0,1,47,3,1
0,1,1306,0.3,0.3,0.7,0,1,48,3,1
1,0,1306,0.3,0.3,0.7,0,1,49,3,2
1,0,1306,0.3,0.3,0.7,0,1,50,3,2
0,0,1306,0.3,0.7,0.3,0,2,1,1,2
0,1,1306,0.3,0.7,0.3,0,2,2,1,1
0,0,1306,0.3,0.7,0.3,0,2,3,1,2
0,0,1306,0.3,0.7,0.3,0,2,4,1,2
0,0,1306,0.3,0.7,0.3,0,2,5,1,2
1,0,1306,0.3,0.7,0.3,0,2,6,1,1
1,0,1306,0.3,0.7,0.3,0,2,7,1,1
0,1,1306,0.3,0.7,0.3,1,2,8,1,1
0,1,1306,0.3,0.7,0.3,0,2,9,1,1
0,0,1306,0.3,0.7,0.3,1,2,10,1,1
0,1,1306,0.3,0.7,0.3,0,2,11,1,1
0,0,1306,0.3,0.7,0.3,0,2,12,1,2
0,0,1306,0.3,0.7,0.3,0,2,13,1,2
0,1,1306,0.3,0.7,0.3,0,2,14,1,1
0,1,1306,0.3,0.7,0.3,0,2,15,1,1
1,0,1306,0.3,0.7,0.3,0,2,16,1,2
0,1,1306,0.3,0.7,0.3,1,2,17,1,2
0,1,1306,0.3,0.7,0.3,1,2,18,1,2
1,0,1306,0.3,0.7,0.3,0,2,19,1,2
0,0,1306,0.3,0.7,0.3,1,2,20,1,2
1,0,1306,0.3,0.7,0.3,0,2,21,1,2
0,0,1306,0.3,0.7,0.3,1,2,22,1,2
1,0,1306,0.3,0.7,0.3,0,2,23,1,2
0,1,1306,0.3,0.7,0.3,1,2,24,1,2
0,1,1306,0.3,0.7,0.3,1,2,25,1,2
0,1,1306,0.3,0.7,0.3,1,2,26,1,2
0,1,1306,0.3,0.7,0.3,1,2,27,1,2
1,0,1306,0.3,0.7,0.3,0,2,28,1,1
1,0,1306,0.3,0.7,0.3,0,2,29,1,1
1,0,1306,0.3,0.7,0.3,0,2,30,1,1
1,0,1306,0.3,0.7,0.3,0,2,31,1,1
1,0,1306,0.3,0.7,0.3,0,2,32,1,1
0,0,1306,0.3,0.7,0.3,1,2,33,1,1
0,1,1306,0.3,0.7,0.3,1,2,34,1,1
0,0,1306,0.3,0.7,0.3,1,2,35,1,1
0,0,1306,0.3,0.7,0.3,1,2,36,1,2
1,0,1306,0.3,0.7,0.3,0,2,37,1,2
0,0,1306,0.3,0.7,0.3,0,2,38,1,2
1,0,1306,0.3,0.7,0.3,0,2,39,1,2
0,0,1306,0.3,0.7,0.3,1,2,40,1,2
1,0,1306,0.3,0.7,0.3,0,2,41,1,2
0,1,1306,0.3,0.7,0.3,0,2,42,1,2
0,0,1306,0.3,0.7,0.3,1,2,43,1,2
0,1,1306,0.3,0.7,0.3,1,2,44,1,2
1,0,1306,0.3,0.7,0.3,1,2,45,1,1
0,0,1306,0.3,0.7,0.3,1,2,46,1,1
0,0,1306,0.3,0.7,0.3,1,2,47,1,2
1,0,1306,0.3,0.7,0.3,1,2,48,1,1
1,0,1306,0.3,0.7,0.3,0,2,49,1,1
1,0,1306,0.3,0.7,0.3,0,2,50,1,1
0,0,1306,0.3,0.3,0.7,0,3,1,2,2
1,0,1306,0.3,0.3,0.7,0,3,2,2,2
1,0,1306,0.3,0.3,0.7,0,3,3,2,2
1,0,1306,0.3,0.3,0.7,0,3,4,2,2
1,1,1306,0.3,0.3,0.7,0,3,5,2,2
1,0,1306,0.3,0.3,0.7,1,3,6,2,2
1,0,1306,0.3,0.3,0.7,1,3,7,2,2
1,0,1306,0.3,0.3,0.7,0,3,8,2,2
1,0,1306,0.3,0.3,0.7,0,3,9,2,2
1,0,1306,0.3,0.3,0.7,1,3,10,2,2
1,0,1306,0.3,0.3,0.7,1,3,11,2,2
1,1,1306,0.3,0.3,0.7,1,3,12,2,2
1,1,1306,0.3,0.3,0.7,1,3,13,2,2
1,0,1306,0.3,0.3,0.7,1,3,14,2,2
1,0,1306,0.3,0.3,0.7,1,3,15,2,2
0,0,1306,0.3,0.3,0.7,0,3,16,2,1
1,1,1306,0.3,0.3,0.7,1,3,17,2,2
1,0,1306,0.3,0.3,0.7,1,3,18,2,2
1,0,1306,0.3,0.3,0.7,1,3,19,2,2
1,1,1306,0.3,0.3,0.7,1,3,20,2,2
1,1,1306,0.3,0.3,0.7,1,3,21,2,2
1,1,1306,0.3,0.3,0.7,1,3,22,2,2
1,1,1306,0.3,0.3,0.7,1,3,23,2,2
1,0,1306,0.3,0.3,0.7,1,3,24,2,2
0,0,1306,0.3,0.3,0.7,1,3,25,2,2
1,0,1306,0.3,0.3,0.7,1,3,26,2,2
0,0,1306,0.3,0.3,0.7,0,3,27,2,2
1,1,1306,0.3,0.3,0.7,0,3,28,2,1
0,0,1306,0.3,0.3,0.7,0,3,29,2,1
1,0,1306,0.3,0.3,0.7,0,3,30,2,2
1,0,1306,0.3,0.3,0.7,0,3,31,2,2
1,0,1306,0.3,0.3,0.7,1,3,32,2,2
1,1,1306,0.3,0.3,0.7,1,3,33,2,2
1,1,1306,0.3,0.3,0.7,1,3,34,2,2
1,0,1306,0.3,0.3,0.7,1,3,35,2,2
1,1,1306,0.3,0.3,0.7,1,3,36,2,2
0,0,1306,0.3,0.3,0.7,0,3,37,2,2
0,0,1306,0.3,0.3,0.7,0,3,38,2,2
1,0,1306,0.3,0.3,0.7,1,3,39,2,2
1,0,1306,0.3,0.3,0.7,1,3,40,2,2
1,0,1306,0.3,0.3,0.7,1,3,41,2,2
0,0,1306,0.3,0.3,0.7,0,3,42,2,2
1,0,1306,0.3,0.3,0.7,1,3,43,2,2
1,1,1306,0.3,0.3,0.7,1,3,44,2,2
1,0,1306,0.3,0.3,0.7,1,3,45,2,2
1,0,1306,0.3,0.3,0.7,1,3,46,2,2
1,1,1306,0.3,0.3,0.7,1,3,47,2,2
1,1,1306,0.3,0.3,0.7,1,3,48,2,2
1,0,1306,0.3,0.3,0.7,1,3,49,2,2
1,0,1306,0.3,0.3,0.7,1,3,50,2,2
